grid_id,center_lat,center_lon
1,40.691831,-74.174000
2,40.616745,-73.831299
3,40.864474,-73.847422
4,40.723752,-73.976968
5,40.552659,-74.188484
6,40.600324,-74.071771
7,40.761493,-73.919694
8,40.778559,-73.923086
9,40.751035,-73.787949
10,40.678953,-73.790986
11,40.604273,-74.007488
12,40.702946,-74.015564
13,40.712038,-74.016079
14,40.624835,-74.029892
15,40.783333,-73.785972
16,40.762738,-73.773422
17,40.691507,-73.949905
18,40.867682,-73.890183
19,40.735487,-73.726655
20,40.857780,-73.885867
21,40.601429,-73.983537
22,40.612218,-73.995259
23,40.606448,-74.170887
24,40.801970,-73.965480
25,40.685634,-73.986114
26,40.630950,-73.988661
27,40.559133,-73.906908
28,40.711596,-73.808729
29,40.580922,-73.961217
30,40.603687,-73.821927
31,40.857747,-73.875476
32,40.864002,-73.864901
33,40.695798,-73.995250
34,40.700856,-73.971189
35,40.664003,-73.910258
36,40.700522,-73.917711
37,40.694994,-73.922240
38,40.694341,-73.735554
39,40.638037,-73.899735
40,40.679199,-73.995956
41,40.804334,-73.951292
42,40.818258,-73.940772
43,40.782478,-73.965554
44,40.525495,-74.233534
45,40.712459,-73.998152
46,40.849086,-73.781987
47,40.842749,-73.900316
48,40.762253,-73.989845
49,40.687967,-73.962364
50,40.766238,-73.995135
51,40.873973,-73.828264
52,40.686651,-73.996724
53,40.780912,-73.842814
54,40.687201,-74.002911
55,40.576961,-73.987943
56,40.741407,-73.858845
57,40.751819,-73.853582
58,40.841452,-73.820393
59,40.838550,-73.894986
60,40.833990,-73.885900
61,40.674469,-73.939287
62,40.666540,-73.948789
63,40.683840,-73.878173
64,40.760616,-73.739337
65,40.695338,-73.986086
66,40.702259,-73.985702
67,40.619619,-74.013801
68,40.748428,-73.999917
69,40.831417,-73.915029
70,40.763352,-73.868396
71,40.644288,-73.937966
72,40.652365,-73.922251
73,40.754109,-73.807294
74,40.801169,-73.937346
75,40.790011,-73.945750
76,40.660935,-73.876821
77,40.666559,-73.895364
78,40.844960,-73.885522
79,40.727620,-73.985937
80,40.715370,-73.936793
81,40.880935,-73.836643
82,40.739496,-73.877118
83,40.738324,-73.892173
84,40.528686,-74.187674
85,40.646116,-73.951623
86,40.602433,-73.755244
87,40.706808,-74.007496
88,40.703358,-74.011515
89,40.637900,-73.960968
90,40.742279,-73.996971
91,40.626273,-73.930097
92,40.761102,-73.828859
93,40.740676,-73.840867
